Employee_ID,Tasks_Assigned,Task_Difficulty,Hours_Worked,Deadline_Days
256,7,6,33,22
257,19,8,44,6
258,16,3,54,5
259,16,1,59,25
260,7,9,38,10
261,5,1,50,8
262,19,3,49,7
263,18,8,48,7
264,7,3,48,6
265,10,4,41,21
266,12,8,34,29
267,17,1,39,20
268,16,6,46,3
269,18,1,34,19
270,14,1,51,22
271,10,8,45,15
272,9,4,36,4
273,19,1,57,28
274,8,7,38,12
275,7,5,32,6
276,17,5,44,19
277,8,1,45,4
278,18,6,47,15
279,11,9,43,9
280,5,9,32,5
281,11,8,41,13
282,5,5,38,23
283,6,1,57,26
284,19,9,36,18
285,8,1,38,5
286,5,8,42,25
287,15,5,47,16
288,16,3,34,27
289,15,7,42,19
290,19,7,33,14
291,15,9,31,25
292,13,7,45,16
293,16,3,38,27
294,10,1,38,15
295,17,8,35,22
296,5,3,40,4
297,5,8,51,7
298,10,8,53,16
299,8,5,51,24
300,8,1,30,22
301,19,7,33,21
302,15,5,42,22
303,19,8,52,21
304,10,9,42,8
305,19,7,42,17
306,18,7,31,16
307,16,1,38,27
308,15,4,53,23
309,11,2,37,10
310,13,2,36,10
311,14,2,33,27
312,9,4,47,2
313,13,1,32,9
314,8,4,57,17
315,17,2,35,11
316,14,5,41,10
317,6,3,41,22
318,7,8,50,25
319,17,4,57,17
320,15,1,37,4
321,5,1,51,16
322,18,3,51,20
323,18,9,30,15
324,10,7,33,25
325,17,2,50,27
326,10,9,57,21
327,5,2,40,5
328,15,3,32,6
329,17,2,42,17
330,7,3,54,1
331,9,6,46,25
332,7,9,51,19
333,14,9,51,4
334,7,7,39,17
335,18,3,50,9
336,14,4,41,24
337,7,6,44,2
338,9,5,50,8
339,17,2,39,15
340,9,6,43,7
341,8,3,42,27
342,5,8,34,6
343,9,2,35,1
344,14,1,53,15
345,9,9,31,23
346,8,3,51,26
347,10,1,46,7
348,14,7,33,29
349,8,5,43,25
350,18,5,39,17
351,11,1,32,2
352,11,9,54,27
353,6,7,32,9
354,7,8,44,29
355,5,9,35,9
356,12,6,46,13
357,13,5,41,6
358,8,6,51,6
359,10,2,49,20
360,13,4,53,20
361,10,3,58,21
362,18,7,40,3
363,16,9,54,17
364,16,5,33,17
365,16,6,55,12
366,13,2,57,16
367,19,3,55,15
368,8,3,35,13
369,12,9,30,23
370,13,7,49,1
371,8,8,52,17
372,9,9,57,3
373,18,6,45,26
374,12,4,44,15
375,16,1,46,4
376,14,8,37,4
377,18,7,57,18
378,10,2,55,17
379,16,8,41,19
380,11,5,56,11
381,7,7,51,20
382,11,4,50,3
383,16,5,39,8
384,18,8,56,14
385,12,1,44,26
386,14,1,59,1
387,10,4,38,14
388,19,3,31,2
389,14,2,34,29
390,13,3,35,23
391,17,1,36,4
392,10,1,50,24
393,16,6,54,27
394,13,5,30,29
395,17,8,52,19
396,8,2,55,6
397,12,4,36,25
398,15,8,49,1
399,8,6,54,17
400,6,1,59,8
401,14,4,41,19
402,15,1,45,21
403,13,2,45,1
404,9,5,40,5
405,8,8,50,27
406,6,8,33,16
407,5,3,42,6
408,15,4,36,8
409,11,6,33,13
410,10,3,44,16
411,19,2,48,3
412,19,6,38,19
413,6,5,40,12
414,12,5,37,16
415,15,5,30,27
416,8,5,52,11
417,12,3,54,10
418,19,7,53,25
419,11,6,37,20
420,9,4,42,4
421,14,2,51,12
422,14,9,56,23
423,16,1,33,2
424,12,4,37,24
425,18,1,32,22
426,13,6,58,19
427,9,4,38,25
428,14,5,58,5
429,9,5,31,8
430,6,9,31,7
431,9,1,57,14
432,7,2,42,24
433,11,6,44,23
434,14,5,57,3
435,9,7,52,18
436,12,3,41,16
437,5,3,55,23
438,7,2,33,19
439,7,3,55,19
440,13,1,37,18
441,9,5,38,20
442,16,5,52,16
443,13,7,34,8
444,17,4,53,28
445,13,3,49,1
446,5,1,47,17
447,6,8,40,12
448,9,3,44,21
449,8,2,57,11
450,19,4,51,5
451,14,3,38,27
452,13,1,46,12
453,11,3,56,17
454,10,2,55,6
455,11,8,41,1
456,5,6,36,5
457,5,9,39,25
458,12,8,54,28
459,17,3,55,14
460,17,5,54,5
461,6,7,39,22
462,16,5,56,24
463,14,8,42,27
464,15,5,48,1
465,13,1,40,18
466,11,5,42,16
467,10,4,50,9
468,5,6,37,19
469,5,3,37,22
470,6,5,33,5
471,10,2,44,27
472,18,6,57,2
473,10,6,40,15
474,6,5,40,7
475,5,6,30,4
476,14,7,46,1
477,9,5,44,13
478,9,1,49,20
479,6,8,35,22
480,10,4,53,7
481,13,9,51,15
482,6,6,57,23
483,14,1,54,14
484,6,3,44,23
485,7,3,38,19
486,17,4,43,22
487,11,6,47,29
488,10,7,55,24
489,16,4,46,20
490,12,6,47,29
491,19,1,34,24
492,12,8,49,18
493,10,7,49,10
494,16,9,38,9
495,15,3,40,25
496,14,2,53,8
497,7,1,51,26
498,7,3,30,29
499,19,5,47,10
500,5,2,35,17
